sentence,label
"Semitic agreement is normally discontinuous (i.e. expressed by more than one affix on the verb) only in the second and third persons. However, in restricted cases in particular languages, first person agreement is also discontinuous. I discuss two types of first person discontinuities. The first manifests the hallmarks of a meta split, persisting across paradigms and exponents. I argue that this type of first person discontinuity arises due to postsyntactic Fission which separates antagonistic sets of features prior to insertion and which is driven by markedness constraints on feature coexponence. The second type of first person discontinuity is restricted to a single paradigm and does not evince true discontinuous bleeding effects. Such discontinuities are best captured via morphological Doubling, modeled via Generalized Reduplication. First person discontinuities thus provide strong empirical support for the autonomy of morpheme splitting rules and morpheme copying rules. I demonstrate that each type of rule has a distinct empirical signature and acts as a repair to a different kind of morphotactic constraint. Consequently, there must be more than one route to discontinuous agreement.",0
"Dressler et al. (2019, https://www.italian-journal-linguistics.com/app/uploads/2021/05/3_Dressler.pdf) report several cases of rather unusual patterns in children's morphological acquisition and suggest that these patterns pose challenges to both usage-based and universalist theories of language acquisition. We argue that a learning-theoretic account of how such patterns might emerge is missing from current theories, and show that the Tolerance Principle (Yang, 2016) provides such an account. We apply the Tolerance Principle to both types of ""blind-alley developments"" discussed by Dressler et al. and show that it successfully accounts for these patterns as transient mismatches between form and function during acquisition.",0
"Dressler et al. (2019, https://www.italian-journal-linguistics.com/app/uploads/2021/05/3_Dressler.pdf) report several cases of rather unusual patterns in children's morphological acquisition and suggest that these patterns pose challenges to both usage-based and universalist theories of language acquisition. We argue that a learning-theoretic account of how such patterns might emerge is missing from current theories, and show that the Tolerance Principle (Yang, 2016) provides such an account. We apply the Tolerance Principle to both types of ""blind-alley developments"" discussed by Dressler et al. and show that it successfully accounts for these patterns as transient mismatches between form and function during acquisition.",0
"The dissertation examines a wide range of phenomena from the perspective of the NP/DP-language distinction, establishing a number of novel typological generalizations, and discussing their relevance to various aspects of the linguistic theory.
Bošković originally proposed a two-way distinction of NP/DP-languages, namely languages with and without definite articles, but Talić (2017) argued that the two-way distinction is not sufficient, with a three-way distinction needed: article-less languages, affixal article languages, and non-affixal article languages. In this dissertation, I first provide additional support for Talić's proposal with two novel typological generalizations: extraction of a conjunct from coordinate structures may be allowed only in affixal article and article-less languages, and what I call compositional indeterminate pronouns may be productive only in languages with affixal articles and without articles. Relatedly to the second generalization, I establish the generalization that large-scale pied-piping is possible in a language only if it has compositional indeterminate pronouns and the projection to be pied-piped is head-final. I also offer deductions of these generalizations, which have consequences for a number of phenomena/mechanisms, e.g. with respect to phases, Agree, labeling, and the syntax of wh-in-situ. Regarding Agree, I argue that it can be deduced from Minimal Search, hence eliminated from the grammar.
Most importantly, I argue that Talić's three-way distinction of NP/DP-languages is not sufficient either; we need a more fine-grained ""scale"" of NP/DP-language distinction, from canonical to non-canonical DP languages, rather than a two-way or a three-way ""cut"". I demonstrate that a number of languages (e.g. Italian and Greek) that have been treated as canonical DP-languages by Bošković and Talić exhibit some properties of NP-languages, and argue that the presence/absence of a definite article does not necessarily correspond to the presence/absence of DP in a given language or a construction. I propose that the definite article has an option of not projecting DP, by being base-generated adjoined to another head in the nominal domain, an option which I show enables us to capture the scale of DP-hood. I also show that the scale approach to the NP/DP-language distinction is an appropriate point of parameterization in minimalism.",1
"Scottish Gaelic uses nominalizations of verbs in the construction of various non-finite clauses. These nominalizations look morphologically much like English deverbal nominals of the destruction/refusal/engagement kind: their form is idiosyncratic to the root, and they have all the properties of nominals, including, in Gaelic, grammatical gender. However, the Gaelic nominalizations behave syntactically, in non-finite clauses, just as though they are verbs, rejecting nominal modifiers. I argue that they really are verbal in such circumstances, and that their peculiar behaviour can be explained if nominalization may take place either syntactically (for the case where they behave like nouns) or on the way to spellout `in' the morphology (for the case where they behave like verbs), drawing on the idea of Parallel Morphology proposed by Borer (1988).",0
"An often discussed dimension of the locality conditions on allomorphy is visibility: when do the trigger and target of allomorphy 'see' each other? An equally important dimension is intervention: when do the trigger and target stop seeing each other? Through the lens of a detailed analysis of Greek verbal morphology, this paper examines the conditions under which intervention forces the insertion of a default exponent. On the basis of two case studies on affixal allomorphy and one on stem allomorphy, I argue that patterns of intervention are easily accommodated under adjacency-based theories of the locality of allomorphy, and mysterious under less restrictive alternatives.",0
"This chapter shows that Asturian middle-passive contexts containing certain activity verbs, such as 'lleer' (to read), as well as a relational or body-part noun as their grammatical subject allow for the insertion of a non-selected dative argument necessarily interpreted as the inalienable possessor of such noun. Moreover, two configurations can yield these structures: one where the dative phrase raises to preverbal subject position from inside TP, and another where the dative DP is left-dislocated and the theme in subject position. Interestingly, an analysis relying on the notion of low applicative heads relating the possessor and the possessee cannot successfully account for these configurations due to intervention effects when both the dative DP and the grammatical subject occur preverbally. Instead, an approach whereby the inalienable possession construal arises inside the DP–theme and subsequently spreads to the applicative head that introduces the dative possessor successfully overcomes this shortcoming.",0
"We review accounts of the generalization from Zwicky 1977 that languages without an inclusive/exclusive contrast (almost) invariably treat the inclusive meaning as a first person rather than second. We focus on Harbour 2016 who proposes a system that describes all and only the attested categories without appeal to additional postulates such as a person hierarchy, but introduces several novel assumptions about the semantics of features. We suggest that the key innovation in Harbour's proposal is the use of cumulative (non-Boolean) conjunction in word-internal composition. We offer a more conservative alternative, showing that the main result can be derived with cumulative conjunction and exhaustification, while avoiding the other novel assumptions in Harbour's approach. Moreover, we contend that our approach is empirically superior regarding certain apparently mixed clusivity systems, notably Mandarin pronouns. More broadly, the result argues that cumulative conjunction and exhaustification are available in word-internal semantics just like in sentence semantics.",1
"Passivization in Turkish may target both internal and external argument positions, for passives of unaccusatives, unergatives and transitives are possible in the language. Interestingly, Turkish also has double passives where the passive morpheme is iterated, and both argument positions are saturated. However, the language does not allow for antipassives, where only the internal argument position of a transitive predicate is saturated by passivization. Importantly, under plausible compositional analyses, antipassives are fully predicted, contrary to the fact. Hence, the unavailability of antipassives in a language that has double passives (and passives of unaccusatives) remains as a puzzle, which this paper sets out to solve. In particular, we argue that antipassives are ruled out on the grounds that the passive morpheme is visible to the case calculus in terms of Dependent Case Theory but has to remain caseless throughout the
derivation. We show that this account also correctly predicts that internal argument positions that happen to be lexical case positions can never be targeted by passivization. Finally, we provide a fine-grained analysis of internal argument suppression accounting for the aspectual restrictions it has been reported to have, and compare our work to the existing proposals.",0
"It is claimed in Key 2013 that Turkish, despite allowing multiple causative morphemes on a single complex verb, does not in fact allow causative recursion, where one causing event is embedded by another causing event. This paper argues against Key's conclusion, using evidence from eventhood diagnostics to show that ""double"" causatives in Turkish encode two distinct, syntactically represented causing events in addition to the caused event. Thus Turkish causatives are indeed recursive. This finding supports approaches to productive affixal causatives which allow recursive embedding of the same category over approaches which rely on a fixed functional hierarchy.",0
"Expressive and ideophonic constructions conveying 'marked words that depict sensory imagery' (Dingemanse 2012) are frequently found in the languages of all regions of the world, but their distribution, use and functioning across languages of the Caucasus has never been documented from a regional perspective. This chapter will survey the various kinds of expressive language present in the three autochthonous Caucasian families Abkhaz-Adyghean, Kartvelian and Nakh-Daghestanian, and find they vary in terms of:

1) their morphological exponence,
2) the extent to which their overall typological profile constrains how expressive forms may be formed,
3) grammatical categories exclusive to expressives,
4) expressives as a source for lexical innovation,
5) expressives as a locus of diachronic change

It will also look in-depth at the specific morphological and syntactic peculiarities of expressives in Georgian, which exhibit exuberant consonant clusters, processes of reduplication uncharacteristic of the language as a whole, as well as specific morphosyntactic alignment splits between different classes of expressive. Expressives will be seen not to be one thing, but many.",0
"Cross-linguistically, morphomes are empirically robust but there are few well-studied cases outside of Romance.  We analyze the distribution of present and aorist stems in Western Armenian, an understudied Indo-European language. Canonically, the aorist encodes perfective aspect, but it is meaninglessly used in different paradigm cells for different conjugation classes. For these meaningless cases, the aorist stem acts as a morphomic item.  The shape of the aorist stem varies across conjugation classes, including regular classes that use a dedicated aorist suffix vs. irregular classes that use root suppletion. This parallelism across the regular and irregular verbs further establishes that the aorist stem is a legitimate morphological item, and not just a set of homophonous items. We formalize  the data in Distributed Morphology, a post-syntactic morphological framework. We use head-insertion or node-sprouting to model how  the aorist suffix has canonical perfective semantics, but it is meaninglessly inserted by the morphology in non-perfective contexts.  We find that the creation of the aorist stem occurs   early in the derivation, and it cyclically interacts with allomorphy and morphophonological alternations.  In sum, the morphomic aorist is well-integrated into Armenian morphotactics, and morphomic elements  interact with other morphological operations. *** Printed title is Derivational timing of morphomes: Canonicity and rule ordering in the Armenian aorist stem",1
"A recent quantitative study claims language structure to be unaffected by the proportion of those speaking the language non-natively [A. Koplenig, Royal Society Open Science, 6, 181274 (2019)]. This result hinges on the imputation of an assumed zero proportion of L2 (second-language) speakers for languages which are considered non-vehicular but for which no direct estimate of that proportion exists. We provide an alternative analysis and interpretation of the same data, treating uncertain non-vehicular languages as missing data points. In a multiple regression, controlling for population size, we find that higher proportions of L2 speakers predict lower morphological as well as information-theoretic complexity.",0
